,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,music_genre
30,35.0,0.000556,0.585,264576.0,0.953,0.00949,0.385,-2.734,0.0797,127.989,0.6609999999999999,Electronic
31,48.0,0.0001899999999999,0.595,467816.0,0.942,0.72,0.318,-11.22,0.0416,130.013,0.0333,Electronic
33,53.0,0.103,0.573,240627.0,0.6859999999999999,0.0117,0.1119999999999999,-2.7060000000000004,0.0549,60.191,0.29,Electronic
34,63.0,0.414,0.81,297775.0,0.591,0.799,0.072,-13.385,0.0638,136.028,0.297,Electronic
37,25.0,0.149,0.419,346324.0,0.879,0.476,0.261,-2.8760000000000003,0.0481,109.055,0.61,Electronic
38,36.0,0.66,0.605,242773.0,0.555,0.862,0.28,-9.661,0.035,160.179,0.462,Electronic
42,34.0,7.879999999999999e-05,0.578,367307.0,0.76,0.015,0.0538,-5.865,0.0441,136.059,0.575,Electronic
44,31.0,0.0035,0.595,222147.0,0.904,0.0037799999999999,0.0533,-6.805,0.0349,127.61,0.841,Electronic
46,48.0,0.00409,0.721,260952.0,0.938,0.275,0.38,-3.818,0.0921,126.011,0.161,Electronic
47,30.0,0.0579999999999999,0.815,233893.0,0.509,0.877,0.0954,-12.991,0.0486,113.475,0.7709999999999999,Electronic
48,55.0,0.636,0.62,376733.0,0.318,0.879,0.118,-15.88,0.0399,150.379,0.2,Electronic
49,25.0,0.0378,0.716,259587.0,0.986,0.382,0.159,-3.46,0.0676,125.971,0.6809999999999999,Electronic
50,49.0,0.111,0.7140000000000001,196507.0,0.867,8.55e-05,0.325,-6.295,0.0569,122.915,0.872,Electronic
51,59.0,0.173,0.542,237827.0,0.7490000000000001,0.942,0.315,-8.333,0.0277,94.031,0.674,Electronic
53,33.0,0.718,0.518,233613.0,0.302,0.94,0.103,-13.57,0.0336,170.025,0.296,Electronic
54,32.0,0.0662,0.515,205507.0,0.998,0.521,0.521,-2.189,0.156,127.74,0.154,Electronic
55,41.0,0.627,0.774,356576.0,0.741,0.6729999999999999,0.1159999999999999,-8.007,0.0919,123.973,0.688,Electronic
56,47.0,0.0004089999999999,0.5670000000000001,188764.0,0.898,0.613,0.249,-1.286,0.125,74.995,0.183,Electronic
57,39.0,0.0106,0.652,341400.0,0.312,0.35,0.0745,-17.647000000000002,0.0518,105.965,0.211,Electronic
58,41.0,0.00155,0.653,201410.0,0.899,0.799,0.148,-3.954,0.035,142.999,0.306,Electronic
59,38.0,0.0827,0.908,227467.0,0.978,0.00117,0.389,-1.51,0.306,127.983,0.7290000000000001,Electronic
60,27.0,0.216,0.626,337091.0,0.362,0.867,0.6809999999999999,-14.892,0.0479,109.948,0.107,Electronic
61,38.0,0.0816,0.6890000000000001,202333.0,0.8740000000000001,0.129,0.272,-5.275,0.0464,121.019,0.961,Electronic
63,32.0,0.0151,0.728,248276.0,0.902,0.00144,0.361,-0.643,0.1969999999999999,145.043,0.22,Electronic
64,34.0,0.0143,0.502,268000.0,0.8690000000000001,0.0069099999999999,0.291,-3.899,0.0981,150.119,0.415,Electronic
65,33.0,0.0192,0.665,312227.0,0.888,7.13e-05,0.1119999999999999,-5.99,0.0409,127.628,0.622,Electronic
66,31.0,0.011,0.5920000000000001,219293.0,0.695,2.36e-06,0.336,-7.987999999999999,0.0291,117.858,0.6579999999999999,Electronic
67,28.0,0.00431,0.617,223300.0,0.944,7.809999999999999e-05,0.268,-2.849,0.318,149.541,0.238,Electronic
68,27.0,0.0003549999999999,0.8140000000000001,378688.0,0.877,0.455,0.206,-6.84,0.0533,122.003,0.64,Electronic
69,38.0,0.00226,0.657,174227.0,0.7090000000000001,0.63,0.2,-6.533,0.0579,80.499,0.779,Electronic
71,36.0,0.196,0.746,442189.0,0.4589999999999999,0.871,0.182,-13.505999999999998,0.066,120.015,0.351,Electronic
72,31.0,0.178,0.7090000000000001,188680.0,0.677,0.00362,0.0974,-9.092,0.0661,99.029,0.544,Electronic
73,44.0,0.0161,0.6829999999999999,182000.0,0.68,0.0,0.319,-5.861000000000001,0.0376,145.042,0.557,Electronic
74,43.0,0.581,0.515,287227.0,0.574,0.575,0.185,-9.8,0.0279999999999999,136.993,0.2739999999999999,Electronic
75,36.0,0.00163,0.736,241733.0,0.659,0.8059999999999999,0.0905,-6.549,0.0352,108.871,0.285,Electronic
76,41.0,0.0133,0.569,265100.0,0.96,0.00135,0.0734,-4.513,0.296,75.016,0.0413,Electronic
77,36.0,0.122,0.878,330000.0,0.921,0.0218,0.258,-5.162000000000001,0.132,127.996,0.487,Electronic
78,50.0,0.0049,0.7659999999999999,232275.0,0.8390000000000001,0.0108,0.114,-5.122999999999999,0.0409999999999999,124.992,0.113,Electronic
79,41.0,0.000367,0.518,270859.0,0.7020000000000001,0.841,0.396,-5.039,0.0299,117.014,0.23,Electronic
80,51.0,0.00988,0.7020000000000001,219200.0,0.807,0.00971,0.111,-2.688,0.206,75.063,0.363,Electronic
81,29.0,0.000266,0.866,406605.0,0.6970000000000001,0.0401,0.0528,-7.2010000000000005,0.067,124.014,0.7759999999999999,Electronic
82,24.0,0.00324,0.466,214000.0,0.907,3.02e-06,0.0901,-5.603,0.348,149.965,0.332,Electronic
83,42.0,0.00268,0.483,195200.0,0.898,0.944,0.136,-5.622999999999999,0.0406,149.991,0.0393,Electronic
84,50.0,0.0846,0.508,230533.0,0.8079999999999999,0.000727,0.0719,-12.496,0.0403,94.255,0.209,Electronic
85,26.0,0.00413,0.482,228857.0,0.758,0.0904,0.2,-3.333,0.057,125.005,0.253,Electronic
86,37.0,0.0009019999999999,0.569,264000.0,0.7859999999999999,0.426,0.107,-4.375,0.1369999999999999,150.02200000000002,0.396,Electronic
87,30.0,0.0086,0.561,218200.0,0.821,0.00347,0.103,-8.677,0.0289,119.711,0.8540000000000001,Electronic
88,31.0,0.000516,0.5710000000000001,183985.0,0.923,0.215,0.143,-2.597,0.0658,150.22,0.465,Electronic
89,34.0,0.166,0.637,206118.0,0.472,0.105,0.143,-4.984,0.108,84.59899999999999,0.22,Electronic
90,32.0,0.172,0.795,185333.0,0.518,0.0597,0.17,-11.736,0.0986,115.008,0.585,Electronic
91,28.0,0.00105,0.8,257707.0,0.903,0.4429999999999999,0.0833,-5.277,0.0727,123.876,0.634,Electronic
92,26.0,0.001,0.563,236712.0,0.631,0.00104,0.102,-5.682,0.1989999999999999,146.211,0.208,Electronic
93,41.0,0.0021899999999999,0.539,212973.0,0.914,0.0806,0.1989999999999999,-5.7860000000000005,0.0345,141.35,0.432,Electronic
94,44.0,0.4,0.381,230173.0,0.423,0.0289,0.149,-12.356,0.0517,130.07,0.24,Electronic
96,55.0,0.946,0.542,247818.0,0.16,0.928,0.263,-21.672,0.0365,126.921,0.198,Electronic
97,27.0,0.0108,0.489,254453.0,0.7759999999999999,0.135,0.273,-6.087999999999999,0.0351,75.516,0.436,Electronic
100,43.0,0.0101,0.602,214000.0,0.986,0.0021899999999999,0.315,-0.563,0.531,75.02600000000001,0.0464,Electronic
101,31.0,0.0111,0.355,293172.0,0.674,0.919,0.0901,-9.093,0.0513,90.954,0.0356,Electronic
102,34.0,0.00591,0.644,186240.0,0.927,0.4479999999999999,0.363,-4.651,0.0508,125.001,0.316,Electronic
103,39.0,9.19e-05,0.519,239667.0,0.818,0.00467,0.426,-6.218,0.0596,183.975,0.544,Electronic
105,96.0,0.153,0.841,212500.0,0.7979999999999999,3.33e-06,0.0618,-4.206,0.2289999999999999,95.948,0.591,Electronic
107,44.0,0.000449,0.43,231637.0,0.812,0.00899,0.0531,-5.303,0.0669,149.998,0.286,Electronic
108,31.0,4.270000000000001e-05,0.629,278400.0,0.914,0.544,0.108,-2.577,0.0509,149.991,0.183,Electronic
109,36.0,0.00316,0.6779999999999999,272098.0,0.746,0.0192,0.0983,-6.178,0.278,145.096,0.426,Electronic
111,39.0,0.0185,0.802,194590.0,0.7929999999999999,0.0,0.363,-4.578,0.198,150.143,0.564,Electronic
113,41.0,0.0128,0.574,157524.0,0.67,0.601,0.645,-3.68,0.207,149.975,0.513,Electronic
115,35.0,0.0688,0.517,378840.0,0.696,0.789,0.122,-7.794,0.0521,168.422,0.3429999999999999,Electronic
117,40.0,0.00883,0.687,180233.0,0.698,0.0977,0.11,-3.728,0.437,112.494,0.591,Electronic
118,38.0,0.0928,0.887,346533.0,0.7490000000000001,1.56e-06,0.315,-7.322999999999999,0.223,127.999,0.6970000000000001,Electronic
119,27.0,0.00885,0.897,204016.0,0.762,0.016,0.0824,-4.48,0.0625,126.035,0.43,Electronic
122,36.0,0.0054399999999999,0.664,184434.0,0.893,0.000193,0.131,-4.501,0.201,189.988,0.401,Electronic
123,34.0,0.136,0.792,379600.0,0.664,0.8240000000000001,0.121,-10.403,0.0638,109.99,0.733,Electronic
124,30.0,0.00108,0.6779999999999999,237000.0,0.711,0.043,0.22,-8.911,0.0568,165.06400000000002,0.305,Electronic
125,23.0,0.00277,0.331,216279.0,0.923,0.0147,0.126,-3.0860000000000003,0.327,171.858,0.208,Electronic
127,31.0,0.0294,0.86,251009.0,0.68,0.838,0.198,-4.32,0.0829,109.995,0.237,Electronic
129,38.0,0.608,0.85,312507.0,0.74,0.000782,0.302,-6.327000000000001,0.0552,123.451,0.907,Electronic
131,38.0,0.128,0.4579999999999999,164456.0,0.826,2.34e-05,0.3429999999999999,-7.604,0.166,110.245,0.494,Electronic
133,38.0,0.0412,0.527,357107.0,0.7509999999999999,0.7979999999999999,0.644,-8.764,0.0361,123.491,0.135,Electronic
135,44.0,0.153,0.792,265133.0,0.5489999999999999,0.379,0.3429999999999999,-9.855,0.0456,120.013,0.476,Electronic
136,26.0,0.000107,0.521,249000.0,0.8809999999999999,0.0192,0.106,-8.812000000000001,0.0471,127.061,0.317,Electronic
137,39.0,0.0134,0.8079999999999999,445723.0,0.451,0.7759999999999999,0.106,-12.013,0.0714,120.961,0.353,Electronic
138,53.0,0.132,0.698,368400.0,0.789,0.0091,0.366,-4.936,0.163,123.016,0.492,Electronic
139,55.0,0.367,0.594,236522.0,0.815,0.0,0.0948,-3.47,0.0423,137.933,0.3389999999999999,Electronic
140,61.0,0.148,0.701,462267.0,0.7879999999999999,0.625,0.0977,-5.611000000000001,0.0425,142.584,0.795,Electronic
142,34.0,0.00187,0.774,248571.0,0.944,0.191,0.111,0.072,0.0782,140.063,0.369,Electronic
143,53.0,0.00171,0.721,197442.0,0.925,0.0545,0.547,-3.208,0.196,111.961,0.37,Electronic
144,24.0,0.115,0.563,200800.0,0.868,0.293,0.108,-4.691,0.0535,117.028,0.535,Electronic
145,36.0,0.055,0.6509999999999999,240009.0,0.418,8.56e-05,0.103,-9.306,0.0352,139.997,0.104,Electronic
146,42.0,0.385,0.594,322787.0,0.481,0.845,0.131,-14.483,0.047,109.941,0.585,Electronic
148,39.0,0.528,0.7,163613.0,0.893,0.955,0.695,-10.191,0.0649,140.046,0.8009999999999999,Electronic
149,51.0,0.246,0.675,381173.0,0.496,0.888,0.155,-14.236,0.0622,80.958,0.885,Electronic
150,31.0,0.00892,0.5660000000000001,322105.0,0.879,0.36,0.142,-4.461,0.11,76.01,0.295,Electronic
151,35.0,0.0564,0.665,360442.0,0.65,0.447,0.0983,-6.782,0.0335,100.014,0.3,Electronic
153,35.0,0.0177,0.8290000000000001,394013.0,0.263,0.0435,0.0826,-12.35,0.0377,104.992,0.357,Electronic
155,45.0,0.95,0.45,202147.0,0.278,0.6459999999999999,0.185,-14.318,0.034,108.004,0.0421,Electronic
156,25.0,0.00499,0.594,204800.0,0.871,0.3879999999999999,0.0935,-3.477,0.0421,150.009,0.63,Electronic
157,36.0,0.0196,0.728,232500.0,0.8959999999999999,0.252,0.1009999999999999,-4.597,0.0579999999999999,128.001,0.2689999999999999,Electronic
158,31.0,0.00694,0.637,175983.0,0.708,0.142,0.344,-7.792000000000001,0.0793,99.987,0.733,Electronic
159,30.0,0.0197,0.774,243837.0,0.606,0.4379999999999999,0.161,-6.89,0.182,74.99,0.375,Electronic
161,26.0,0.0044399999999999,0.701,331000.0,0.607,4.09e-05,0.0433,-4.513999999999999,0.0547,127.979,0.342,Electronic
164,36.0,0.23,0.4039999999999999,458667.0,0.61,0.949,0.1009999999999999,-12.952,0.0367,179.938,0.2,Electronic
165,34.0,0.00162,0.356,191573.0,0.917,0.8029999999999999,0.0877,-7.842,0.0811,110.192,0.799,Electronic
166,37.0,0.0863,0.7709999999999999,180004.0,0.959,0.436,0.0536,-2.992,0.0572,139.952,0.6629999999999999,Electronic
167,47.0,2.33e-05,0.416,275200.0,0.925,0.838,0.125,-3.94,0.0763,74.99,0.0971,Electronic
168,26.0,0.0206,0.792,192323.0,0.969,0.00869,0.644,-3.488,0.139,145.069,0.667,Electronic
169,66.0,0.0874,0.525,252280.0,0.741,0.147,0.1169999999999999,-5.643,0.0311,117.031,0.179,Electronic
170,50.0,0.0128,0.922,245947.0,0.701,0.000822,0.0941,-6.678999999999999,0.0868,101.996,0.54,Electronic
172,30.0,0.0553,0.557,336413.0,0.778,0.7829999999999999,0.0993,-6.174,0.0339,90.97,0.26,Electronic
173,40.0,0.000744,0.632,300414.0,0.93,0.000373,0.174,-4.553,0.226,145.035,0.251,Electronic
174,41.0,0.113,0.4039999999999999,294013.0,0.677,0.508,0.0546,-5.58,0.0384,82.022,0.165,Electronic
175,46.0,0.0116,0.377,447427.0,0.65,0.8270000000000001,0.346,-10.277,0.0284,101.547,0.0978,Electronic
176,33.0,0.000417,0.466,290827.0,0.828,0.205,0.335,-7.898,0.0518,104.495,0.299,Electronic
177,39.0,0.237,0.586,222136.0,0.7120000000000001,0.971,0.0906,-9.937,0.0313,136.037,0.178,Electronic
178,30.0,0.00212,0.413,220800.0,0.857,0.92,0.0981,-4.974,0.0482,100.095,0.073,Electronic
179,51.0,0.102,0.736,453507.0,0.401,0.293,0.0938,-11.285,0.0476,100.008,0.0543,Electronic
180,70.0,0.0427,0.8170000000000001,224693.0,0.716,0.00263,0.358,-8.898,0.144,123.475,0.6920000000000001,Electronic
181,39.0,0.00442,0.509,270965.0,0.904,0.843,0.653,-7.045,0.0405,132.009,0.153,Electronic
182,51.0,6.53e-05,0.58,290840.0,0.7859999999999999,0.207,0.461,-9.979,0.0675,126.004,0.5579999999999999,Electronic
186,41.0,0.1169999999999999,0.805,354893.0,0.794,0.315,0.315,-7.468999999999999,0.0682,104.992,0.733,Electronic
187,23.0,0.136,0.623,198621.0,0.933,0.589,0.412,-4.932,0.591,144.89600000000002,0.295,Electronic
188,50.0,0.0208,0.7759999999999999,325584.0,0.474,0.384,0.0877,-8.437999999999999,0.0418,130.025,0.195,Electronic
190,31.0,0.524,0.551,289187.0,0.327,0.0036799999999999,0.122,-13.714,0.0384,75.03699999999999,0.22,Electronic
191,35.0,0.000291,0.478,266400.0,0.8690000000000001,0.243,0.0804,-3.033,0.0785,150.14,0.314,Electronic
194,36.0,0.342,0.726,360200.0,0.87,0.902,0.121,-6.506,0.0997,141.96200000000002,0.677,Electronic
195,41.0,0.198,0.6890000000000001,480686.0,0.569,0.00725,0.108,-10.285,0.0421,119.996,0.283,Electronic
196,43.0,0.0157,0.833,211882.0,0.938,0.0718,0.0663,-2.242,0.0551,128.024,0.79,Electronic
197,44.0,0.0127,0.825,155435.0,0.7909999999999999,0.00227,0.0722,-4.7,0.0495,101.999,0.512,Electronic
198,44.0,0.0111,0.659,350098.0,0.757,0.696,0.128,-4.802,0.03,139.94899999999998,0.475,Electronic
199,36.0,0.0249,0.865,274013.0,0.65,0.000391,0.102,-8.025,0.1009999999999999,120.03,0.557,Electronic
200,56.0,0.958,0.525,291000.0,0.366,0.7509999999999999,0.1369999999999999,-16.488,0.0718,179.956,0.0785,Electronic
201,44.0,0.0291,0.691,192387.0,0.89,0.585,0.0878,-6.516,0.0349,125.983,0.6509999999999999,Electronic
202,42.0,0.00703,0.682,213157.0,0.585,7.04e-05,0.105,-5.608,0.0473,88.027,0.521,Electronic
204,43.0,0.154,0.568,272800.0,0.7070000000000001,0.898,0.1169999999999999,-7.07,0.0384,93.98,0.623,Electronic
205,35.0,0.00121,0.42,372667.0,0.968,0.8909999999999999,0.0921,-9.047,0.07,124.837,0.37,Electronic
206,38.0,0.1369999999999999,0.494,205160.0,0.357,0.667,0.131,-17.063,0.0343,95.031,0.292,Electronic
207,41.0,0.2019999999999999,0.489,459147.0,0.506,0.6759999999999999,0.0916,-13.68,0.0318,156.779,0.0387,Electronic
208,31.0,0.0562,0.7340000000000001,303920.0,0.757,0.0762,0.283,-3.661,0.163,127.993,0.158,Electronic
209,32.0,0.932,0.434,247187.0,0.2769999999999999,0.708,0.0832,-16.148,0.0417,133.298,0.26,Electronic
210,59.0,0.238,0.481,270257.0,0.687,0.11,0.107,-6.747999999999999,0.0699,145.971,0.188,Electronic
212,46.0,0.00139,0.608,319880.0,0.725,0.0546,0.0802,-4.367,0.342,136.251,0.802,Electronic
213,60.0,0.013,0.708,155840.0,0.8270000000000001,1.49e-05,0.504,-4.591,0.0453,120.015,0.367,Electronic
215,40.0,0.00968,0.871,202268.0,0.843,0.6970000000000001,0.111,-5.447,0.0885,97.013,0.877,Electronic
216,47.0,0.1369999999999999,0.7659999999999999,359166.0,0.396,0.0436,0.052,-12.673,0.0406,113.005,0.187,Electronic
218,33.0,0.135,0.7440000000000001,271693.0,0.563,0.626,0.133,-12.188,0.0361,156.018,0.87,Electronic
220,38.0,0.547,0.765,268813.0,0.784,0.924,0.0815,-8.277999999999999,0.0649,126.228,0.655,Electronic
221,48.0,0.252,0.879,537164.0,0.777,0.8490000000000001,0.0883,-10.709,0.0559,110.003,0.198,Electronic
222,39.0,0.107,0.58,403693.0,0.612,0.0365,0.226,-11.630999999999998,0.0735,124.022,0.555,Electronic
223,45.0,0.0733,0.565,283773.0,0.779,2.92e-05,0.263,-3.891,0.0412,119.949,0.541,Electronic
224,41.0,0.00739,0.7070000000000001,244965.0,0.877,0.487,0.1009999999999999,-1.27,0.0729,144.959,0.165,Electronic
225,43.0,0.0004559999999999,0.625,320333.0,0.843,0.000761,0.179,-5.162999999999999,0.0695,117.949,0.7170000000000001,Electronic
226,56.0,0.0616,0.387,240713.0,0.758,2.26e-05,0.118,-2.794,0.0578,127.947,0.132,Electronic
228,36.0,0.0273,0.6890000000000001,255238.0,0.8140000000000001,0.000106,0.106,-4.254,0.0338,126.044,0.177,Electronic
229,40.0,0.206,0.818,309055.0,0.487,0.7140000000000001,0.111,-10.593,0.1889999999999999,141.99,0.35,Electronic
230,35.0,0.0112,0.866,224836.0,0.906,0.348,0.0382,-2.967,0.0479,126.084,0.267,Electronic
231,28.0,0.0476,0.67,342293.0,0.7929999999999999,0.912,0.0714,-3.848,0.0308,93.802,0.6709999999999999,Electronic
232,45.0,0.794,0.7559999999999999,222250.0,0.518,0.0452,0.1009999999999999,-6.924,0.0736,107.035,0.27,Electronic
233,21.0,0.00748,0.282,279880.0,0.777,0.0,0.158,-6.797999999999999,0.0665,127.191,0.345,Electronic
234,28.0,0.0104,0.93,318894.0,0.76,0.7929999999999999,0.0822,-6.063,0.406,139.985,0.62,Electronic
236,22.0,0.00716,0.703,166957.0,0.939,0.173,0.161,-2.69,0.0547,127.976,0.332,Electronic
237,42.0,0.0136,0.878,208745.0,0.557,0.235,0.0766,-10.992,0.0566,115.064,0.66,Electronic
238,43.0,0.00598,0.625,332387.0,0.742,0.00288,0.0921,-7.912999999999999,0.0285,112.639,0.508,Electronic
239,26.0,0.0145,0.58,201694.0,0.72,0.598,0.281,-5.541,0.0638,143.816,0.16,Electronic
240,61.0,0.0508,0.813,271219.0,0.569,0.0016,0.0559999999999999,-6.068,0.0468,123.028,0.18,Electronic
241,32.0,0.0846,0.616,243960.0,0.8340000000000001,0.0,0.62,-4.932,0.0422,123.01,0.863,Electronic
242,44.0,0.092,0.6,253746.0,0.5479999999999999,0.7859999999999999,0.0879,-11.123,0.0295,155.942,0.82,Electronic
243,48.0,0.00042,0.775,376815.0,0.67,0.0179,0.0951,-4.676,0.04,140.019,0.365,Electronic
244,33.0,0.0147,0.198,34459.0,0.397,0.513,0.121,-13.970999999999998,0.0429,86.788,0.0395,Electronic
246,43.0,0.00187,0.407,866773.0,0.888,0.104,0.172,-3.0780000000000003,0.3329999999999999,123.95,0.293,Electronic
248,33.0,0.00732,0.8059999999999999,208552.0,0.846,0.255,0.425,-1.374,0.3979999999999999,145.112,0.479,Electronic
249,26.0,6.459999999999998e-05,0.802,491901.0,0.747,0.8809999999999999,0.0754,-8.174,0.0496,120.981,0.208,Electronic
250,58.0,0.00943,0.507,282273.0,0.934,0.0018,0.222,-2.325,0.188,175.954,0.471,Electronic
252,28.0,0.000856,0.439,229846.0,0.835,0.0265,0.147,-6.061,0.3289999999999999,129.892,0.295,Electronic
253,32.0,0.731,0.23,128640.0,0.424,0.3,0.155,-11.326,0.0356,97.627,0.391,Electronic
254,37.0,0.0531,0.441,262467.0,0.6759999999999999,0.491,0.1159999999999999,-12.296,0.0759,218.03,0.762,Electronic
255,33.0,0.00886,0.564,242660.0,0.598,0.7859999999999999,0.0904,-9.65,0.0301,129.998,0.374,Electronic
256,27.0,0.0389,0.6729999999999999,241200.0,0.7170000000000001,0.669,0.106,-8.365,0.0382,81.962,0.624,Electronic
257,45.0,0.015,0.608,272143.0,0.7829999999999999,0.000846,0.354,-5.924,0.133,139.994,0.41,Electronic
258,44.0,0.00223,0.581,548560.0,0.897,0.748,0.0237,-9.151,0.0635,134.997,0.677,Electronic
259,55.0,0.384,0.737,194735.0,0.457,0.381,0.104,-8.547,0.0339,147.947,0.447,Electronic
260,25.0,0.437,0.626,71228.0,0.6459999999999999,0.946,0.177,-10.74,0.0444,160.012,0.5870000000000001,Electronic
262,41.0,0.074,0.655,175613.0,0.823,0.0,0.0756,-4.597,0.0973,133.91899999999998,0.364,Electronic
263,21.0,0.000354,0.3429999999999999,263267.0,0.955,0.0502,0.114,-2.374,0.0906,164.95,0.5429999999999999,Electronic
265,34.0,0.00141,0.504,166562.0,0.946,0.00526,0.723,-1.285,0.335,174.104,0.3939999999999999,Electronic
266,38.0,0.00936,0.726,250000.0,0.703,0.114,0.113,-6.965,0.0499,120.954,0.434,Electronic
267,25.0,0.000167,0.479,192012.0,0.98,0.171,0.37,-3.379,0.4379999999999999,149.92700000000002,0.2239999999999999,Electronic
268,33.0,0.0363,0.659,168000.0,0.932,0.000421,0.133,-4.972,0.125,100.034,0.3939999999999999,Electronic
269,40.0,0.0355,0.535,334467.0,0.6990000000000001,0.216,0.354,-7.16,0.0456,113.022,0.258,Electronic
270,23.0,0.00255,0.307,243000.0,0.904,0.6829999999999999,0.34,-5.278,0.195,139.995,0.0951,Electronic
272,50.0,0.0463,0.331,339310.0,0.6679999999999999,0.0,0.2269999999999999,-3.167,0.0415,145.13299999999998,0.152,Electronic
273,42.0,0.76,0.728,227022.0,0.541,7.96e-06,0.0925,-7.422999999999999,0.0722,126.082,0.5579999999999999,Electronic
274,29.0,3.9e-05,0.568,378693.0,0.7090000000000001,0.0034799999999999,0.33,-6.188,0.0304,122.987,0.211,Electronic
275,46.0,0.872,0.619,228867.0,0.564,0.926,0.16,-10.696,0.0293,131.908,0.787,Electronic
276,36.0,0.157,0.685,351907.0,0.652,0.0085,0.111,-7.501,0.0493,119.989,0.521,Electronic
278,31.0,0.125,0.485,352000.0,0.919,0.965,0.122,-9.312,0.0651,79.988,0.432,Electronic
279,28.0,0.00396,0.7709999999999999,233600.0,0.64,4.52e-06,0.0993,-5.666,0.155,74.987,0.424,Electronic
280,34.0,0.0466,0.537,186203.0,0.797,0.0,0.865,-5.327999999999999,0.321,84.444,0.384,Electronic
281,61.0,0.262,0.374,201600.0,0.8859999999999999,0.000985,0.0919,-4.004,0.0613,150.082,0.113,Electronic
282,54.0,0.00112,0.905,264000.0,0.838,0.8390000000000001,0.608,-6.837999999999999,0.0499,126.007,0.4639999999999999,Electronic
284,34.0,0.0189,0.6579999999999999,412220.0,0.602,0.7609999999999999,0.0841,-12.425999999999998,0.0361,99.991,0.132,Electronic
285,36.0,0.281,0.4639999999999999,329733.0,0.579,0.8270000000000001,0.0992,-9.136,0.0596,171.752,0.14,Electronic
286,40.0,0.00355,0.618,269333.0,0.8590000000000001,0.00103,0.181,-4.802,0.361,89.95,0.103,Electronic
287,42.0,0.303,0.94,278117.0,0.4589999999999999,4.94e-05,0.126,-8.006,0.0561,107.006,0.304,Electronic
289,37.0,0.435,0.664,236520.0,0.691,0.00809,0.1369999999999999,-8.357999999999999,0.0873,83.04700000000001,0.7559999999999999,Electronic
